GeneSymbol,GeneName,logFC,AveExpr,t.stat,p.value,adj.p.val,Regulation
LOC105377358,uncharacterized LOC105377358,0.0403093217901204,-4.04790313692345,0.58025252609263,0.561825625811835,0.702368017890721,Up
LOC107986200,uncharacterized LOC107986200,-0.0484851360751552,-4.47625514493513,-0.735875260170111,0.461913927004718,0.615003314408468,Down
ORC2,origin recognition complex subunit 2,-0.0181068626046012,5.30401742240409,-1.41383049034136,0.157605222502145,0.268943152383292,Down
LOC105375248,,0.0334207431854215,-5.67963149402107,1.12644634980057,0.260144694360479,0.400933793304561,Up
SCML4,Scm polycomb group protein like 4,-0.0647380752767501,3.05300321254182,-1.26260492993004,0.206914243061647,0.334638979537331,Down
TRAV6,T cell receptor alpha variable 6,0.0383772914713329,-3.77355003641285,0.478718169807477,0.63220421491396,0.756003193830542,Up
PCIF1,phosphorylated CTD interacting factor 1,0.0240725315334217,3.74085447490123,1.31480318262578,0.188763515372171,0.311163066994374,Up
OR10H2,olfactory receptor family 10 subfamily H member 2,-0.036089149497636,-5.63468171765742,-1.11253596184783,0.266074049494533,0.407980209224951,Down
TCAP,titin-cap,0.029058154135396,-2.67300218415654,0.435551957942045,0.663220283869606,0.778319729909385,Up
ZNF418,zinc finger protein 418,0.0492119268599004,1.22313388388925,1.06061669625895,0.289023388559322,0.434904652549368,Up
ATP5MJ,ATP synthase membrane subunit j,-0.0418889731591556,5.84671564995579,-1.44216355013974,0.149450951726154,0.257438237681834,Down
ALG1L2,ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase like 2,0.0347634790344258,-0.866711915252678,0.760741650267291,0.446922914337407,0.601375001706925,Up
CTB-30L5.1,uncharacterized CTB-30L5.1,-0.0383937837832895,-3.95607992105411,-0.531580653459983,0.595089882832348,0.728909672019365,Down
TM6SF2,transmembrane 6 superfamily member 2,0.161392441798681,2.45428542634498,1.19560954789378,0.232025227328602,0.366578074521166,Up
LINC02349,long intergenic non-protein coding RNA 2349,0.0334879395857151,-5.6784888566116,1.12552966463052,0.260532594726435,0.401390228106584,Up
MIR1200,microRNA 1200,0.0466692750848205,-4.1757072847308,0.631988747036307,0.527484059302515,0.674269975298527,Up
H2AB1,H2A.B variant histone 1,0.0365662729565937,-4.23868080331821,0.656050527004355,0.511885462983109,0.661090950520611,Up
BRI3BP,BRI3 binding protein,0.0336085943780579,6.87574369272179,1.48931170803581,0.136601380074372,0.239136522268389,Up
LOC105375870,uncharacterized LOC105375870,-0.0545147680439929,-5.1366596260946,-0.966994434365172,0.333692210173448,0.485406349247836,Down
NREP-AS1,NREP antisense RNA 1,0.046444639249852,-5.47694633524337,1.08549227839684,0.277866367482817,0.421840077341381,Up
LOC105375311,uncharacterized LOC105375311,0.0317939962045282,-5.70364484852332,1.12899313536184,0.259069108597309,0.399667184615564,Up
