"POSITION_X	",POSITION_Y,POSITION_T
1271.552,598.216,539
1271.209,598.183,540
1272.399,602.645,541
1272.103,604.979,542
1272.195,605.081,543
1271.036,606.347,544
1269.977,606.788,545
1273.181,604.785,546
1276.005,598.995,547
1274.417,597.514,548
1273.046,594.469,549
1270.943,595.907,550
1270.3,593.977,551
1271.206,593.47,552
1272.121,589.064,553
1270.943,589.818,554
1268.887,583.624,556
1268.299,582.672,557
1266.744,580.43,558
1266.269,580.698,559
1263.287,577.452,561
1262.619,578.983,562
1263.2,578.586,563
1263.174,575.283,564
1260.396,573.698,566
1261.479,566.477,567
1260.019,568.023,568
1258.96,568.951,569
1257.443,549.461,576
1256.174,550.674,577
1246.258,524.633,585
1249.73,527.984,586
1251.287,524.59,588
1249.453,520.18,589
1249.931,518.684,590
1256.362,500.594,593
1256.343,498.435,594
1257.474,494.028,595
1259.744,492.027,596
1260.346,492.725,597
1262.073,493.528,598
1261.697,496.591,599
1261.397,495.922,600
1258.923,498.608,601
1258.737,499.765,602
1263.807,513.894,606
1265.208,515.25,607
1269.323,514.936,608
1271.397,511.434,609
1273.356,511.553,610
1274.934,515.259,611
1279.083,516.903,612
1280.674,518.328,613
1276.249,517.664,614
1282.852,516.551,616
1281.952,516.41,617
1280.605,516.476,618
1279.457,516.85,619
1279.297,518.529,620
1278.345,519.11,621
1277.952,518.724,622
1279.023,514.165,623
1276.053,514.223,624
1276.276,515.029,625
1274.104,514.347,626
1273.332,513.708,627
1272.259,515.092,628
1272.234,515.01,629
1270.558,513.454,630
1267.956,514.753,631
1259.658,513.104,637
1257.588,512.173,638
1220.224,500.254,657
1227.521,506.061,658
1204.369,503.578,668
1205.683,502.218,669
1205.318,502.405,670
1202.796,503.337,671
1202.468,503.894,672
1205.69,483.301,673
1205.858,484.302,674
1205.42,485.838,675
1206.933,486.726,676
1207.193,486.054,677
1208.315,485.817,678
1209.21,486.199,679
1209.566,485.426,680
1212.294,486.505,681
1213.053,486.811,682
1213.821,487.3,683
1214.683,487.413,684
1216.939,487.868,685
1217.988,484.982,686
1220.771,482.381,687
1222.444,482.647,688
1223.38,480.653,689
1224.23,482.918,690
1225.287,481.293,691
1224.986,481.193,692
1227.389,479.385,693
1228.198,479.975,694
1226.532,483.132,695
1232.992,477.041,697
1237.857,476.485,698
1239.047,476.647,699
1240.494,477.184,700
1241.649,479.077,701
1244.654,475.627,702
1246.308,475.924,703
1247.335,476.434,704
1249.382,475.715,705
1251.347,476.177,706
1251.763,477.416,707
1254.614,476.689,708
1253.778,479.078,709
1255.249,477.468,710
1258.116,474.827,711
1258.736,474.583,712
1261.061,475.409,713
1262.843,475.307,714
1264.45,474.897,715
1231.8,361.732,716
1232.325,361.783,717
1232.478,361.961,718
1232.08,361.723,719
1231.903,361.515,720
1231.439,361.349,721
1231.711,361.66,722
1232.686,364.822,723
1233.586,366.178,724
1247.919,371.797,725
1245.037,374.277,726
1243.386,374.414,727
1242.853,375.78,728
1243.724,376.235,729
1244.29,376.251,730
1245.825,375.673,731
1245.846,375.908,732
1247.563,376.182,733
1248.923,376.709,734
1249.136,376.146,735
1246.796,375.938,736
1248.56,377.395,737
1251.44,380.742,738
1253.532,384.687,739
1254.809,386.561,740
1257.495,390.347,741
1258.337,393.1,742
1257.617,395.079,743
1262.686,480.919,744
1260.005,480.667,745
1258.443,479.76,746
1258.18,480.807,747
1259.022,481.878,748
1259.237,481.036,749
1258.743,481.825,750
1258.575,479.241,751
1258.987,478.362,752
1257.533,478.11,753
1229.979,323.011,761
1230.405,324.55,762
1230.564,324.063,763
1230.002,322.481,764
1230.598,322.118,765
1231.13,324.489,766
1230.725,322.893,767
1230.993,322.248,768
1230.762,324.342,769
1230.542,326.153,770
1230.746,322.58,771
1230.8,322.886,772
1231.139,322.081,773
1231.129,324.616,774
1230.832,323.28,775
1230.85,323.303,776
1231.071,323.87,777
1231.318,333.598,778
1231.561,336.766,779
1231.886,321.544,780
1231.968,322.633,781
1231.821,321.007,782
1232.113,320.973,783
1232.048,321.421,784
1232.078,321.727,785
1232.169,321.717,786
1237.096,249.594,787
1233.848,278.913,788
1233.83,277.87,789
1232.67,277.001,790
1228.924,275.605,791
1228.216,276.129,792
1228.569,276.383,793
1228.756,276.279,794
1228.623,275.949,795
1227.649,277.338,796
1227.116,278.995,797
1232.099,324.595,798
1232.027,323.682,799
1231.693,324.034,800
1232.032,324.046,801
1231.763,321.544,802
1231.57,323.457,803
1231.776,320.673,804
1230.894,360.122,805
1231.869,323.094,806
1231.282,329.657,807
1231.6,323.108,808
1231.782,322.88,809
1231.647,323.008,810
1231.723,323.167,811
1231.93,322.933,812
1231.731,321.417,813
1231.915,322.542,814
1231.559,324.405,815
1231.777,322.821,816
1231.988,322.322,817
1231.893,322.625,818
1231.964,322.728,819
1231.643,323.171,820
1231.973,322.456,821
1231.846,321.977,822
1231.965,322.951,823
1231.726,322.76,824
1231.868,324.415,825
1231.662,323.592,826
1231.768,333.342,827
1231.643,323.621,828
1231.768,324.735,829
1231.911,323.431,830
1231.693,323.333,831
1231.819,322.108,832
1231.772,322.415,833
1231.721,322.782,834
1231.841,323.037,835
1231.793,322.863,836
1231.755,322.374,837
1231.765,321.955,838
1231.836,323.649,839
1231.83,323.087,840
1231.782,322.356,841
1231.822,321.335,842
1232.027,323.605,843
1231.8,321.671,844
1231.672,324.234,845
1231.778,322.23,846
1231.869,323.351,847
1231.632,327.166,848
1231.675,323.453,849
1231.65,323.809,850
1232.074,321.617,851
1231.954,324.029,852
1231.793,322.731,853
1231.929,321.819,854
1231.846,325.204,855
1231.952,322.057,856
1231.628,322.911,857
1231.961,323.045,858
1231.828,322.384,859
1231.877,322.882,860
1231.635,323.504,861
1232.204,323.531,862
1232.219,323.595,863
1232.1,322.268,864
1231.946,321.023,865
1231.67,319.758,866
1231.663,318.167,867
1231.693,318.587,868
1231.708,319.955,869
1231.679,319.098,870
1231.919,321.522,871
1231.772,321.552,872
1231.728,321.121,873
1231.807,321.398,874
1231.884,322.676,875
1231.806,321.084,876
1231.47,320.444,877
1231.786,321.464,878
1231.632,320.989,879
1231.568,321.97,880
1231.435,321.438,881
1231.26,322.348,882
1231.364,322.447,883
1231.826,321.448,884
1231.793,321.872,885
1231.757,322.233,886
1231.764,320.73,887
1231.57,321.76,888
1231.795,321.451,889
1231.512,321.923,890
1231.713,321.75,891
1231.36,322.095,892
1231.227,320.924,893
1231.222,321.256,894
1231.174,320.632,895
1231.533,321.494,896
1231.387,322.108,897
1231.388,320.722,898
1231.942,322.102,899
1231.776,320.827,900
1231.706,321.023,901
1231.617,321.957,902
1231.598,321.183,903
1231.592,321.588,904
1231.337,322.102,905
1230.919,320.92,906
1231.351,321.522,907
1231.336,322.43,908
1231.674,322.112,909
1231.148,322.176,910
1231.44,321.652,911
1231.382,321.74,912
1231.513,321.457,913
1231.454,321.165,914
1231.54,320.694,915
1231.486,321.821,916
1231.165,320.05,917
1231.092,321.463,918
1231.237,321.848,919
1231.527,321.926,920
1230.976,321.575,921
1231.062,323.3,922
1231.053,322.143,923
1231.443,320.324,924
1231.112,321.142,925
1231.036,320.524,926
1231.297,321.15,927
1231.218,321.465,928
1231.209,321.064,929
1231.438,323.133,930
1231.466,321.776,931
1231.234,323.012,932
1230.967,322.639,933
1231.342,322.776,934
1231.035,322.432,935
1231.189,322.76,936
1230.998,325.259,937
1231.221,321.708,938
1230.883,321.447,940
1231.161,320.955,941
1231.318,323.02,942
1231.27,321.673,943
1232.229,334.388,944
1232.564,336.53,945
1232.88,334.717,946
1232.007,334.29,947
1232.587,334.462,948
1232.227,333.485,949
1232.671,333.784,950
1232.761,333.462,951
1232.556,332.831,952
1233.691,333.37,953
1233.683,333.761,954
1234.037,333.803,955
1232.949,331.87,956
1232.665,331.417,957
1232.697,332.351,958
1232.766,332.2,959
1232.788,332.651,960
1232.761,331.02,961
1233.867,331.936,962
1233.249,330.707,963
1232.568,329.696,964
1232.509,328.66,965
1232.848,327.701,966
1233.625,328.643,967
1233.655,328.922,968
1233.201,329.139,969
1233.497,328.933,970
1234.515,329.522,971
1233.637,328.581,972
1233.219,328.319,973
1233.438,328.537,974
1232.914,327.88,975
1232.426,326.189,976
1233.223,328.773,977
1232.565,326.768,978
1232.997,327.013,979
1232.742,326.23,980
1232.884,326.296,981
1232.896,325.934,982
1232.956,325.992,983
1233.402,325.492,984
1233.163,324.558,985
1233.92,325.209,986
1233.901,325.24,987
1233.32,324.136,988
1233.693,324.932,989
1233.048,323.718,990
1233.617,324.171,991
1234.011,324.561,992
1233.315,323.964,993
1233.621,323.252,994
1232.894,322.434,995
1232.988,322.784,996
1233.131,322.499,997
1232.997,322.688,998
1232.941,322.395,999
1233.491,323.011,1000
1233.204,321.595,1001
1233.854,321.781,1002
1234.063,321.808,1003
1234.364,321.891,1004
1234.126,321.71,1005
1234.189,321.676,1006
1234.169,321.628,1007
1234.629,321.064,1008
1233.987,320.544,1009
1233.82,320.454,1010
1237.335,321.594,1011
1236.328,321.447,1012
1235.881,321.576,1013
1236.46,321.453,1014
1237.937,321.667,1015
1237.836,321.923,1016
1237.25,321.296,1017
1236.553,320.761,1018
1237.285,320.184,1019
1238.718,320.181,1020
1240.939,319.585,1027
